area_code,location_edit,location,office,plan_no,title,type
H1,Kennedy Town,Kennedy Town & Mount Davis (HPA 1),Hong Kong Planning Areas,S/H1/20,Kennedy Town & Mount Davis (HPA 1) Outline Zoning Plan,OZP
H3,Sai Ying Pun,Sai Ying Pun & Sheung Wan (HPA 3),Hong Kong Planning Areas,S/H3/33,Sai Ying Pun & Sheung Wan (HPA 3) Outline Zoning Plan,OZP
H4,Central District,Central District (HPA 4),Hong Kong Planning Areas,S/H4/17,Central District (HPA 4) Outline Zoning Plan,OZP
H5,Wan Chai,Wan Chai (HPA 5),Hong Kong Planning Areas,S/H5/28,Wan Chai (HPA 5) Outline Zoning Plan,OZP
H6,Causeway Bay,Causeway Bay (HPA 6),Hong Kong Planning Areas,S/H6/17,Causeway Bay (HPA 6) Outline Zoning Plan,OZP
H7,Wong Nai Chung,Wong Nai Chung (HPA 7),Hong Kong Planning Areas,S/H7/20,Wong Nai Chung (HPA 7) Outline Zoning Plan,OZP
H8,North Point,North Point (HPA 8),Hong Kong Planning Areas,S/H8/26,North Point (HPA 8) Outline Zoning Plan,OZP
H9,Shau Kei Wan,Shau Kei Wan (HPA 9),Hong Kong Planning Areas,S/H9/18,Shau Kei Wan (HPA 9) Outline Zoning Plan,OZP
H10,Pok Fu Lam,Pok Fu Lam (HPA 10),Hong Kong Planning Areas,S/H10/18,Pok Fu Lam (HPA 10) Outline Zoning Plan,OZP
H11,Mid-levels West,Mid-levels West (HPA 11),Hong Kong Planning Areas,S/H11/15,Mid-levels West (HPA 11) Outline Zoning Plan,OZP
H12,Mid-levels East,Mid-levels East (HPA 12),Hong Kong Planning Areas,S/H12/12,Mid-levels East (HPA 12) Outline Zoning Plan,OZP
H13,Jardine's Lookout & Wong Nai Chung Gap,Jardine's Lookout & Wong Nai Chung Gap (HPA 13),Hong Kong Planning Areas,S/H13/12,Jardine's Lookout & Wong Nai Chung Gap (HPA 13) Outline Zoning Plan,OZP
H14,Peak,The Peak Area (HPA 14),Hong Kong Planning Areas,S/H14/13,The Peak Area (HPA 14) Outline Zoning Plan,OZP
H15,Aberdeen and Ap Lei Chau,Aberdeen and Ap Lei Chau (HPA 15 & 16),Hong Kong Planning Areas,S/H15/33,Aberdeen and Ap Lei Chau (HPA 15 & 16) Outline Zoning Plan,OZP
H17,Shouson Hill & Repulse Bay,Shouson Hill & Repulse Bay (HPA 17 Pt.),Hong Kong Planning Areas,S/H17/13,Shouson Hill & Repulse Bay (HPA 17 Pt.) Outline Zoning Plan,OZP
H18,Tai Tam & Shek O,Tai Tam & Shek O (HPA 18),Hong Kong Planning Areas,S/H18/10,Tai Tam & Shek O (HPA 18) Outline Zoning Plan,OZP
H19,Stanley,Stanley (HPA 19),Hong Kong Planning Areas,S/H19/13,Stanley (HPA 19) Outline Zoning Plan,OZP
H20,Chai Wan,Chai Wan (HPA 20),Hong Kong Planning Areas,S/H20/24,Chai Wan (HPA 20) Outline Zoning Plan,OZP
H21,Quarry Bay,Quarry Bay (HPA 21),Hong Kong Planning Areas,S/H21/28,Quarry Bay (HPA 21) Outline Zoning Plan,OZP
H24,Central District,Central District (Extension) (HPA 24),Hong Kong Planning Areas,S/H24/9,Central District (Extension) (HPA 24) Outline Zoning Plan,OZP
H25,Wan Chai North,Wan Chai North (HPA 25),Hong Kong Planning Areas,S/H25/4,Wan Chai North (HPA 25) Outline Zoning Plan,OZP
K1,Tsim Sha Tsui,Tsim Sha Tsui (KPA 1),Kowloon Planning Areas,S/K1/28,Tsim Sha Tsui (KPA 1) Outline Zoning Plan,OZP
K2,Yau Ma Tei,Yau Ma Tei (KPA 2),Kowloon Planning Areas,S/K2/22,Yau Ma Tei (KPA 2) Outline Zoning Plan,OZP
K3,Mong Kok,Mong Kok (KPA 3),Kowloon Planning Areas,S/K3/32,Mong Kok (KPA 3) Outline Zoning Plan,OZP
K4,Shek Kip Mei,Shek Kip Mei (KPA 4),Kowloon Planning Areas,S/K4/29,Shek Kip Mei (KPA 4) Outline Zoning Plan,OZP
K5,Cheung Sha Wan,Cheung Sha Wan (KPA 5),Kowloon Planning Areas,S/K5/37,Cheung Sha Wan (KPA 5) Outline Zoning Plan,OZP
K7,Ho Man Tin,Ho Man Tin (KPA 6 & 7),Kowloon Planning Areas,S/K7/24,Ho Man Tin (KPA 6 & 7) Outline Zoning Plan,OZP
K8,Tung Tau,Wang Tau Hom & Tung Tau (KPA 8),Kowloon Planning Areas,S/K8/23,Wang Tau Hom & Tung Tau (KPA 8) Outline Zoning Plan,OZP
K9,Hung Hom,Hung Hom (KPA 9),Kowloon Planning Areas,S/K9/26,Hung Hom (KPA 9) Outline Zoning Plan,OZP
K10,Ma Tau Kok,Ma Tau Kok (KPA 10),Kowloon Planning Areas,S/K10/25,Ma Tau Kok (KPA 10) Outline Zoning Plan,OZP
K11,San Po Kong,"Tsz Wan Shan, Diamond Hill & San Po Kong (KPA 11)",Kowloon Planning Areas,S/K11/29,"Tsz Wan Shan, Diamond Hill & San Po Kong (KPA 11) Outline Zoning Plan",OZP
K12,Ngau Chi Wan,Ngau Chi Wan (KPA 12),Kowloon Planning Areas,S/K12/16,Ngau Chi Wan (KPA 12) Outline Zoning Plan,OZP
K13,Kowloon Bay,Ngau Tau Kok & Kowloon Bay (KPA 13 & 17),Kowloon Planning Areas,S/K13/30,Ngau Tau Kok & Kowloon Bay (KPA 13 & 17) Outline Zoning Plan,OZP
K14N,Kwun Tong,Kwun Tong (North) (KPA 14 Pt.),Kowloon Planning Areas,S/K14N/15,Kwun Tong (North) (KPA 14 Pt.) Outline Zoning Plan,OZP
K14S,Kwun Tong,Kwun Tong (South) (KPA 14 Pt.),Kowloon Planning Areas,S/K14S/22,Kwun Tong (South) (KPA 14 Pt.) Outline Zoning Plan,OZP
K15,"Cha Kwo Ling, Yau Tong, Lei Yue Mun","Cha Kwo Ling, Yau Tong, Lei Yue Mun (KPA 15)",Kowloon Planning Areas,S/K15/25,"Cha Kwo Ling, Yau Tong, Lei Yue Mun (KPA 15) Outline Zoning Plan",OZP
K16,Lai Chi Kok,Lai Chi Kok (KPA 16),Kowloon Planning Areas,S/K16/16,Lai Chi Kok (KPA 16) Outline Zoning Plan,OZP
K18,Kowloon Tong,Kowloon Tong (KPA 18),Kowloon Planning Areas,S/K18/21,Kowloon Tong (KPA 18) Outline Zoning Plan,OZP
